index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Sub-hypothesis,Which species are compared?,Indicator for enemy release,Release of which kind of enemies?,Study date,same as,study,publication
Testing the enemy release hypothesis: a comparison of foliar insect herbivory of the exotic Norway maple (Acer platanoides L.) and the native sugar maple (A-saccharum L.)/Contribution 2,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Testing the enemy release hypothesis: a comparison of foliar insect herbivory of the exotic Norway maple (Acer platanoides L.) and the native sugar maple (A-saccharum L.)/Contribution 2,Testing the enemy release hypothesis: a comparison of foliar insect herbivory of the exotic Norway maple (Acer platanoides L.) and the native sugar maple (A-saccharum L.)
Testing the enemy release hypothesis: a comparison of foliar insect herbivory of the exotic Norway maple (Acer platanoides L.) and the native sugar maple (A-saccharum L.)/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Testing the enemy release hypothesis: a comparison of foliar insect herbivory of the exotic Norway maple (Acer platanoides L.) and the native sugar maple (A-saccharum L.)/Contribution 1,Testing the enemy release hypothesis: a comparison of foliar insect herbivory of the exotic Norway maple (Acer platanoides L.) and the native sugar maple (A-saccharum L.)
A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2009,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe/Contribution 1,A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe
Effects of non-native plants on the native insect community of Delaware/Contribution 3,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,30,Testing the enemy release hypothesis in invasion biology,ANIs,Aliens and natives,Infestation,Specialists,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Effects of non-native plants on the native insect community of Delaware/Contribution 3,Effects of non-native plants on the native insect community of Delaware
Effects of non-native plants on the native insect community of Delaware/Contribution 2,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,30,Testing the enemy release hypothesis in invasion biology,ANIg,Aliens and natives,Infestation,Generalists,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Effects of non-native plants on the native insect community of Delaware/Contribution 2,Effects of non-native plants on the native insect community of Delaware
Effects of non-native plants on the native insect community of Delaware/Contribution 1,Experimental,North-America,Enemy release,Undecided,Enclosure,Terrestrial,Plants,30,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Effects of non-native plants on the native insect community of Delaware/Contribution 1,Effects of non-native plants on the native insect community of Delaware
Diversity and abundance of arthropod floral visitor and herbivore assemblages on exotic and native Senecio species/Contribution 1,Observational or correlational,Oceania,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Diversity and abundance of arthropod floral visitor and herbivore assemblages on exotic and native Senecio species/Contribution 1,Diversity and abundance of arthropod floral visitor and herbivore assemblages on exotic and native Senecio species
Test of the enemy release hypothesis: The native magpie moth prefers a native fireweed (Senecio pinnatifolius) to its introduced congener (S madagascariensis)/Contribution 1,Observational or correlational,Oceania,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Test of the enemy release hypothesis: The native magpie moth prefers a native fireweed (Senecio pinnatifolius) to its introduced congener (S madagascariensis)/Contribution 1,Test of the enemy release hypothesis: The native magpie moth prefers a native fireweed (Senecio pinnatifolius) to its introduced congener (S madagascariensis)
Novel host associations and habitats for Senecio-specialist herbivorous insects in Auckland/Contribution 2,Observational or correlational,Oceania,Enemy release,Questioned,Field,Terrestrial,Plants,6,Testing the enemy release hypothesis in invasion biology,ANIs,Aliens and natives,Infestation,Specialists,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Novel host associations and habitats for Senecio-specialist herbivorous insects in Auckland/Contribution 2,Novel host associations and habitats for Senecio-specialist herbivorous insects in Auckland
Novel host associations and habitats for Senecio-specialist herbivorous insects in Auckland/Contribution 1,Experimental,Oceania,Enemy release,Questioned,Enclosure,Terrestrial,Plants,2,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Novel host associations and habitats for Senecio-specialist herbivorous insects in Auckland/Contribution 1,Novel host associations and habitats for Senecio-specialist herbivorous insects in Auckland
"Herbivores, but not other insects, are scarce on alien plants/Contribution 1",Observational or correlational,Africa,Enemy release,Supported,Field,Terrestrial,Plants,9,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2008,,"Herbivores, but not other insects, are scarce on alien plants/Contribution 1","Herbivores, but not other insects, are scarce on alien plants"
"Use of the introduced bivalve, Musculista senhousia, by generalist parasites of native New Zealand bivalves/Contribution 2",Observational or correlational,Oceania,Enemy release,Questioned,Field,Marine,Molluscs,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","Use of the introduced bivalve, Musculista senhousia, by generalist parasites of native New Zealand bivalves/Contribution 2","Use of the introduced bivalve, Musculista senhousia, by generalist parasites of native New Zealand bivalves"
"Use of the introduced bivalve, Musculista senhousia, by generalist parasites of native New Zealand bivalves/Contribution 1",Observational or correlational,Oceania,Enemy release,Supported,Field,Marine,Molluscs,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","Use of the introduced bivalve, Musculista senhousia, by generalist parasites of native New Zealand bivalves/Contribution 1","Use of the introduced bivalve, Musculista senhousia, by generalist parasites of native New Zealand bivalves"
"Parasite loss and introduced species: a comparison of the parasites of the Puerto Rican tree frog, (Eleutherodactylus coqui), in its native and introduced ranges/Contribution 1",Observational or correlational,North-America,Enemy release,Undecided,Field,Terrestrial,Amphibians,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Parasite loss and introduced species: a comparison of the parasites of the Puerto Rican tree frog, (Eleutherodactylus coqui), in its native and introduced ranges/Contribution 1","Parasite loss and introduced species: a comparison of the parasites of the Puerto Rican tree frog, (Eleutherodactylus coqui), in its native and introduced ranges"
Role of plant enemies in the forestry of indigenous vs. nonindigenous pines/Contribution 2,Observational or correlational,Europe,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2008,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Role of plant enemies in the forestry of indigenous vs. nonindigenous pines/Contribution 2,Role of plant enemies in the forestry of indigenous vs. nonindigenous pines
Role of plant enemies in the forestry of indigenous vs. nonindigenous pines/Contribution 1,Observational or correlational,Europe,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2008,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Role of plant enemies in the forestry of indigenous vs. nonindigenous pines/Contribution 1,Role of plant enemies in the forestry of indigenous vs. nonindigenous pines
"Metazoan parasites of introduced round and tubenose gobies in the Great Lakes: Support for the ""Enemy Release Hypothesis""/Contribution 1",Observational or correlational,"['Asia', 'Europe', 'North-America']",Enemy release,Supported,Field,Freshwater,Fishes,2,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2008,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Metazoan parasites of introduced round and tubenose gobies in the Great Lakes: Support for the ""Enemy Release Hypothesis""/Contribution 1","Metazoan parasites of introduced round and tubenose gobies in the Great Lakes: Support for the ""Enemy Release Hypothesis"""
Variable effects of large mammal herbivory on three non-native versus three native woody plants/Contribution 1,Experimental,North-America,Enemy release,Undecided,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,P Ang,Aliens and natives,Performance,Generalists,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Variable effects of large mammal herbivory on three non-native versus three native woody plants/Contribution 1,Variable effects of large mammal herbivory on three non-native versus three native woody plants
Herbivory on invasive exotic plants and their non-invasive relatives/Contribution 1,Experimental,North-America,Enemy release,Supported,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Herbivory on invasive exotic plants and their non-invasive relatives/Contribution 1,Herbivory on invasive exotic plants and their non-invasive relatives
Comparison of damage to native and exotic tallgrass prairie plants by natural enemies/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,7,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Comparison of damage to native and exotic tallgrass prairie plants by natural enemies/Contribution 1,Comparison of damage to native and exotic tallgrass prairie plants by natural enemies
Resistance of an invasive gastropod to an indigenous trematode parasite in Lake Malawi/Contribution 1,Observational or correlational,Africa,Enemy release,Supported,Field,Freshwater,Molluscs,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2008,,Resistance of an invasive gastropod to an indigenous trematode parasite in Lake Malawi/Contribution 1,Resistance of an invasive gastropod to an indigenous trematode parasite in Lake Malawi
The invasive shrub Buddleja davidii performs better in its introduced range/Contribution 1,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2008,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",The invasive shrub Buddleja davidii performs better in its introduced range/Contribution 1,The invasive shrub Buddleja davidii performs better in its introduced range
Using parasites to inform ecological history: Comparisons among three congeneric marine snails/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Marine,Molluscs,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Using parasites to inform ecological history: Comparisons among three congeneric marine snails/Contribution 1,Using parasites to inform ecological history: Comparisons among three congeneric marine snails
"Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines/Contribution 4",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,4,Testing the enemy release hypothesis in invasion biology,P Ini,Invasive and non-invasive aliens,Performance,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines/Contribution 4","Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines"
"Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines/Contribution 3",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,4,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines/Contribution 3","Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines"
"Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines/Contribution 2",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,8,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines/Contribution 2","Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines"
"Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines/Contribution 1",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,8,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines/Contribution 1","Tolerance to herbivory, and not resistance, may explain differential success of invasive, naturalized, and native North American temperate vines"
Soil feedback of exotic savanna grass relates to pathogen absence and mycorrhizal selectivity/Contribution 1,Experimental,Africa,Enemy release,Supported,Lab,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2007,,Soil feedback of exotic savanna grass relates to pathogen absence and mycorrhizal selectivity/Contribution 1,Soil feedback of exotic savanna grass relates to pathogen absence and mycorrhizal selectivity
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 5",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,8,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 5","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 4",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,2,Testing the enemy release hypothesis in invasion biology,INiI,Invasive and non-invasive aliens,Infestation,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 4","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 3",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,2,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 3","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 2",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,8,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 2","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants"
"When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 1",Experimental,North-America,Enemy release,Undecided,Enclosure,Terrestrial,Plants,8,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants/Contribution 1","When there is no escape: The effects of natural enemies on native, invasive, and noninvasive plants"
"Experimental field comparison of native and non-native maple seedlings: natural enemies, ecophysiology, growth and survival/Contribution 2",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Experimental field comparison of native and non-native maple seedlings: natural enemies, ecophysiology, growth and survival/Contribution 2","Experimental field comparison of native and non-native maple seedlings: natural enemies, ecophysiology, growth and survival"
"Experimental field comparison of native and non-native maple seedlings: natural enemies, ecophysiology, growth and survival/Contribution 1",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Experimental field comparison of native and non-native maple seedlings: natural enemies, ecophysiology, growth and survival/Contribution 1","Experimental field comparison of native and non-native maple seedlings: natural enemies, ecophysiology, growth and survival"
"Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners/Contribution 4",Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,INiDs,Invasive and non-invasive aliens,Damage,Specialists,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners/Contribution 4","Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners"
"Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners/Contribution 3",Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners/Contribution 3","Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners"
"Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners/Contribution 2",Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,4,Testing the enemy release hypothesis in invasion biology,ANDs,Aliens and natives,Damage,Specialists,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners/Contribution 2","Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners"
"Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners/Contribution 1",Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,4,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners/Contribution 1","Does enemy release matter for invasive plants? evidence from a comparison of insect herbivore damage among invasive, non-invasive and native congeners"
The interaction between soil nutrients and leaf loss during early 14 establishment in plant invasion/Contribution 2,Experimental,North-America,Enemy release,Undecided,Enclosure,Terrestrial,Plants,5,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",The interaction between soil nutrients and leaf loss during early 14 establishment in plant invasion/Contribution 2,The interaction between soil nutrients and leaf loss during early 14 establishment in plant invasion
The interaction between soil nutrients and leaf loss during early 14 establishment in plant invasion/Contribution 1,Experimental,North-America,Enemy release,Undecided,Enclosure,Terrestrial,Plants,5,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",The interaction between soil nutrients and leaf loss during early 14 establishment in plant invasion/Contribution 1,The interaction between soil nutrients and leaf loss during early 14 establishment in plant invasion
Increased chemical resistance explains low herbivore colonization of introduced seaweed/Contribution 2,Observational or correlational,Europe,Enemy release,Supported,Field,Marine,Algae,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Increased chemical resistance explains low herbivore colonization of introduced seaweed/Contribution 2,Increased chemical resistance explains low herbivore colonization of introduced seaweed
Increased chemical resistance explains low herbivore colonization of introduced seaweed/Contribution 1,Observational or correlational,Europe,Enemy release,Supported,Field,Marine,Algae,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Increased chemical resistance explains low herbivore colonization of introduced seaweed/Contribution 1,Increased chemical resistance explains low herbivore colonization of introduced seaweed
"Recruitment limitation, seedling performance and persistence of exotic tree monocultures/Contribution 3",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Recruitment limitation, seedling performance and persistence of exotic tree monocultures/Contribution 3","Recruitment limitation, seedling performance and persistence of exotic tree monocultures"
"Recruitment limitation, seedling performance and persistence of exotic tree monocultures/Contribution 2",Experimental,North-America,Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Recruitment limitation, seedling performance and persistence of exotic tree monocultures/Contribution 2","Recruitment limitation, seedling performance and persistence of exotic tree monocultures"
"Recruitment limitation, seedling performance and persistence of exotic tree monocultures/Contribution 1",Experimental,North-America,Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Recruitment limitation, seedling performance and persistence of exotic tree monocultures/Contribution 1","Recruitment limitation, seedling performance and persistence of exotic tree monocultures"
"Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis/Contribution 4",Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,INiIs,Invasive and non-invasive aliens,Infestation,Specialists,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis/Contribution 4","Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis"
"Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis/Contribution 3",Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,INiI,Invasive and non-invasive aliens,Infestation,no differentiation,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis/Contribution 3","Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis"
"Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis/Contribution 2",Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,4,Testing the enemy release hypothesis in invasion biology,ANIs,Aliens and natives,Infestation,Specialists,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis/Contribution 2","Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis"
"Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis/Contribution 1",Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,4,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis/Contribution 1","Insect herbivore faunal diversity among invasive, non-invasive and native Eugenia species: Implications for the enemy release hypothesis"
"Geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata/Contribution 1",Experimental,"['Europe', 'North-America']",Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata/Contribution 1","Geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata"
Native parasites adopt introduced bivalves of the North Sea/Contribution 1,Observational or correlational,Europe,Enemy release,Supported,Field,Marine,Molluscs,2,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Native parasites adopt introduced bivalves of the North Sea/Contribution 1,Native parasites adopt introduced bivalves of the North Sea
Prevalence and evolutionary relationships of haematozoan parasites in native versus introduced populations of common myna Acridotheres tristis/Contribution 1,Observational or correlational,"['Africa', 'Asia', 'North-America', 'Oceania']",Enemy release,Undecided,Field,Terrestrial,Birds,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2006,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Prevalence and evolutionary relationships of haematozoan parasites in native versus introduced populations of common myna Acridotheres tristis/Contribution 1,Prevalence and evolutionary relationships of haematozoan parasites in native versus introduced populations of common myna Acridotheres tristis
